Page,Betweenness Centrality
u153,0.33914047999831615
u8,0.2361838727526648
u150,0.2271330913156057
u66,0.22497055251270542
u149,0.2157953819078507
u358,0.06028683281190013
u242,0.055006793290308977
u147,0.053748151753445106
u136,0.038365864551507846
u141,0.0219849974447691
u356,0.02021590800407202
u145,0.019681636479937575
u148,0.01854400793718163
u142,0.015012228287838896
u742,0.014805918315261641
u146,0.012405984941540908
p348358,0.011521171182601785
u532,0.01148381618223865
p37,0.011439842407998498
u152,0.009491744405528987
u3,0.009206793635825071
u533,0.007623263579256468
p14,0.007451448943143974
p9,0.006930163780120125
u107,0.006635059297010119
p894,0.006352884908905875
p1080,0.005852739790191678
u355,0.005569005620612296
p1008,0.005501827812160133
p1936172,0.005086147824765275
u534,0.0049537765638697495
u144,0.004617720969379391
p521,0.004344722890986657
u467,0.004089708810300394
u154,0.0038570289232509472
p365569,0.0037781566307373226
p2344,0.0035622948857531446
p2582,0.003556522369938054
p1253,0.003543433039432638
u1249,0.0035252233274163667
p1023,0.0034046559097545602
u4334,0.0033466869486497787
u156,0.003344286626061624
p4709,0.0033162612162633553
p2063,0.0033116337931669293
p1668,0.0032992682983022464
u2705,0.0032776986782110515
p15,0.003238323605687436
u1571,0.003121979683502508
p1026,0.0031212169338660028
p1240,0.003073984738422481
p3414,0.002900751611491124
p1087,0.0028286677639095367
u634,0.0027989713772259613
p2211,0.002767838390545613
u151,0.00274703986106672
p69,0.002739843026887566
p203598,0.0025820151502742588
p982,0.0025775066733132084
p933,0.002499646814704736
p849,0.0024975350709211556
p2699,0.002444412549192794
p2957,0.0024230350751594846
p34,0.002414785998781071
p1021,0.0024104517663356383
p1251,0.002403244897889391
p414284,0.002402828308334193
p1190,0.002393848020680913
p584,0.002354732136830355
p1537,0.002333796310711424
u752,0.002325288499636906
p2340,0.0023016199999945763
p3218,0.0022937798800585973
p112,0.002280956440599154
p1485,0.0022807880385625114
p572,0.002255308478047822
p891,0.0022055179019054203
p3309,0.002199490812053703
p87,0.002195023688381022
p1594,0.002176884443855081
p97,0.002125570894086937
p955,0.002125128900814096
u775,0.002123261918325789
p82,0.0021199577939370155
p2095,0.0021013325904681445
p56,0.0020974166360039114
p1348,0.002081780944717032
p590,0.002079105807128753
p1277,0.0020765884334684515
p258,0.002074074750951578
p3107,0.0020496694290499822
p1305,0.002042694151011097
p171,0.002031812754269706
u139,0.0019932963811366456
p2584,0.001989064028103313
p860,0.001966757457964971
p1031,0.0019658092062590413
p1235,0.001939606989456726
p1356,0.0019366304088080926
p2958,0.0019318207450383215
p425,0.001925288233533354
p1014,0.0019189141319821614
p101,0.0019016111012166552
u738,0.0018930752834643717
p2562,0.001879588683141297
u740,0.0018605657564181256
u633,0.0018597033229857424
p2104,0.0018465053149731114
p819,0.0018355608620920264
p583,0.0017898908255533103
p1223,0.001786342130395272
p1067,0.001780987106606269
p578,0.0017778617868502479
p2441,0.0017731261465201104
p969,0.001757770002499908
p2294,0.0017544340175420872
p116,0.0017500602242219439
p2420,0.001739835172226541
p981,0.0017245586387775
p1162,0.0017208665907294436
p932,0.0017084754856120962
p168,0.0016943085440232232
u1080,0.0016770679003934121
p904,0.0016738442230150533
p1312,0.0016735060746608415
p892,0.0016691603870118287
p2953,0.0016668751499302786
p161,0.0016643876956800383
p1022,0.00164940771647149
u4,0.0016349187450892145
p1306,0.0015996802409258518
u2,0.001598257009398881
p1906,0.0015887144617163854
p3130,0.0015880449642585272
p254,0.001572712793175618
p1207,0.001571600458346703
p2960,0.0015603657028047109
p558,0.0015518810371638297
p1106,0.0015458489820476013
p852,0.001539387090626848
p1816,0.0015357962070342503
p1843,0.0015282609164343358
p1231,0.0015238093174820579
p983,0.001507951750909604
u1315,0.0014961980845633323
u741,0.0014943659919304077
u3063,0.001491473199661887
u4380,0.0014885839613668292
p1315,0.0014579962062611657
p41,0.0014423300632405859
p32,0.0014409946787666199
p104,0.0014330278209011282
p1677,0.0014312914768644144
p914,0.0014302254624702288
p4565,0.0014204394143784637
p253,0.001419792620817934
p1280,0.0014196539650975512
p985,0.0014055874714385215
u939,0.0013995349494013442
p895,0.0013981848383309706
p1442,0.0013969889608981573
p3145,0.001394047689457804
p215,0.0013803860756537061
p2400,0.001359157115974792
p913,0.0013444120966307046
p1175,0.001325073002966538
p986,0.0013139983880194198
p1757,0.0013137747533779548
p275,0.0013134020029668396
p2615,0.0013134020029668396
p3108,0.0013132198237169885
p4554,0.0013132198237169885
p1362,0.0013085138141615375
p1931,0.0013028323829781564
p2346,0.0012977466690398843
p95,0.0012971925622248107
p3431,0.0012952216942104548
u681,0.0012949377420046063
p204,0.0012946712303191824
p2404,0.0012841475732396702
p4674,0.0012841475732396702
p1373,0.0012729982513762321
p68,0.0012707614378543895
p802,0.0012702854309965307
p2419,0.0012339426823598752
p4869,0.001226598624668533
p409,0.001222280679560903
p1402,0.001221086021713319
u2928,0.0012156843414190357
u718,0.0012113628930604896
p2446,0.0012093743921277338
p739,0.0012087120033665794
p800,0.0012087120033665794
p1810,0.0012087120033665794
p1817,0.0012087120033665794
p1876,0.0012087120033665794
p1034,0.0012086565955713384
u821,0.0012062129911732519
p3038,0.0012009066399473703
p257,0.0011918955034715799
p2097,0.0011853032028184567
p1208,0.0011835555628772233
p2765,0.0011833169130119386
p2137,0.0011829052514003141
p1427,0.0011776572677115423
p2480,0.0011679974952968726
p3024,0.0011663323645803964
p2712,0.001163362702937862
p898,0.0011532051535597641
p1242,0.0011527204617666834
p2187,0.0011457109074640597
p532,0.0011354016443409132
u2946,0.0011320437938077078
p2659,0.0011305236381217553
p3817,0.0011305236381217553
p3819,0.0011305236381217553
p1442765,0.001126223251062671
p925,0.0011258330203651641
u546,0.001125147500156004
p23,0.0011245658052946477
p919,0.0011219945712183722
p2213,0.0011212281024411807
p574,0.0011207449696022628
p3196,0.0011152338648013416
p3266,0.0011152338648013416
p4545,0.0011152338648013416
p1403,0.0011138469753828055
p1879,0.001106167548655494
p1842,0.0010941649948593857
p3366,0.0010921557229587302
p905,0.0010830863591912705
p901,0.0010813670309130455
p2828,0.0010808242790301464
u4178,0.0010674981615271832
p2552,0.001064863623526301
p1430,0.0010586709504176563
p555,0.0010565270960932367
p2880,0.001048793656343108
p3174,0.001048793656343108
p3821,0.001048793656343108
p564,0.0010417295691013846
p2319,0.0010399290833934512
p593,0.0010381884976591708
p2412,0.0010381884976591708
p1860,0.0010364881431140882
p1811,0.0010362498750145852
p1450,0.0010346666478327857
p2390,0.001027328304120256
p3114,0.0010254971103188378
u1250,0.0010185529927793883
p587,0.0010037352072366978
p1808,0.0010022191422919763
p4077,0.0010022191422919763
p1847,0.0009929461110410234
p1850,0.0009929461110410234
p1401,0.000992686380088329
p216,0.0009844713469310772
p2387,0.0009836694462678122
p635,0.0009776196277014406
p1822,0.0009776196277014406
p4541,0.0009768518530713906
p2347,0.0009748046329513057
p1339,0.0009606398357737514
p2270,0.000957423102649773
p1298,0.000952671670999206
p2565,0.000950657720367616
p1848,0.0009392067544421538
p2413,0.0009383258266515902
p339326,0.00093189721276051
p420736,0.0009310425177423017
p1866,0.0009284837672630084
p135,0.0009267662324822985
p451,0.000922397174216747
p2259,0.0009190223985909876
p926,0.0009167980655793669
p414,0.0009124587957253698
p496,0.0009124587957253698
p1058,0.0009117350233305784
p2349,0.0009097729033824502
p2847,0.0009046189158760608
p2430,0.0009039166749652636
p1285,0.0008962477738452986
p2422,0.0008932650147625595
p2494,0.0008892254105947456
p4174,0.0008838717544275174
p1196,0.0008815418490211639
u1652,0.0008686234320797773
p120,0.0008650850990222574
p2504,0.0008642478512948364
p99,0.0008629399993783464
p2996,0.000858596647096281
p2264,0.0008503663087095384
p2591,0.0008477966568416768
p1521,0.0008443164797406616
p256,0.0008441819005726846
p1534,0.0008369052852004123
p1199,0.0008364315696372157
p1815,0.0008325918524010014
u353,0.0008241556119505891
p1328,0.0008203142735316232
u466,0.000817494313257024
p419,0.00081416523978051
u5174,0.0008108546271129492
p4177,0.0008096289365714336
p965,0.0008039280813312409
p875,0.0007945827208976328
u352,0.0007935807374672689
p2318,0.0007892675416620437
p2386,0.0007892675416620437
p3109,0.0007892675416620437
p3111,0.0007892675416620437
p3153,0.0007892675416620437
p3282,0.0007892675416620437
p1813,0.0007876501387064954
p1818,0.0007876501387064954
p2062,0.0007843279653767705
p1419,0.0007819089187052179
u1289,0.0007811082893543578
p2596,0.0007772683641464582
p2136,0.000776812469198778
p2658,0.0007731182741727768
p2221,0.0007723248811281042
p270,0.0007716890682255737
p2225,0.0007655903207243123
p442,0.0007640650897753125
p1878,0.0007640650897753125
p2469,0.0007640650897753125
u1325,0.0007546804368312673
p1282,0.00075402924329948
p1064,0.000749797422909371
u825,0.0007464239959347279
u1160,0.0007455285702337615
u536,0.0007439136662113519
u6844,0.0007439136662113515
p569,0.000742241447334416
p4563,0.000739391729177838
p1741,0.0007384967284734608
p2832,0.000735213370333355
p2381,0.0007322819170224355
p1234,0.0007320830625374868
p3345,0.0007270169658469278
p2481,0.0007222492954962211
p2593,0.0007222492954962211
p2594,0.0007222492954962211
p2627,0.0007222492954962211
p220,0.0007200332188084187
p252,0.0007200332188084187
p318,0.0007200332188084187
p404,0.0007200332188084187
p498,0.0007200332188084187
p1812,0.0007200332188084187
p1820,0.0007200332188084187
p1877,0.0007200332188084187
p2005,0.0007200332188084187
p3551,0.0007200332188084187
p4052,0.0007200332188084187
p1679,0.0007191399584988492
p2055,0.000717661604939149
p2614,0.0007152221367310194
p2368,0.0007128717237177025
p1426,0.0007073800471389255
p2632,0.0007009239297548316
p2634,0.0007009239297548316
p2646,0.0007009239297548316
p2822,0.0007009239297548316
p2823,0.0007009239297548316
p2836,0.0007009239297548316
p2838,0.0007009239297548316
p2857,0.0007009239297548316
p3856,0.0007009239297548316
p2586,0.0006971448915134152
p450,0.0006948958495562803
p2416,0.0006938947791689802
p2665,0.0006883564670965394
p2827,0.0006883564670965394
p2881,0.0006883564670965394
p2882,0.0006883564670965394
p3316,0.0006883564670965394
p3331,0.0006883564670965394
p3147,0.0006862624720781755
p2338,0.0006835203515641624
p2315,0.0006826320945510177
p2981,0.0006774683037500864
p102,0.0006770457455294413
p1204,0.0006756551225027164
p86,0.0006721120420612495
p1057,0.0006685072732019793
p573,0.0006679201356393071
p5497,0.00066774500536221
p2959,0.0006654842934239046
p67,0.0006647731745385195
p3765,0.0006646384698693369
p1040,0.0006613871166181754
p2337,0.0006605922855583165
p1470,0.0006597312041414951
p1313,0.0006548138215845544
p190,0.0006546924298606321
p2021,0.0006545530099182766
p1272,0.0006528907102214957
p2209,0.0006526404601823436
p1300,0.0006505689896812415
p111,0.0006500009256522383
p100,0.0006470204973209844
p2444,0.0006427396643829672
p4084,0.0006391924961522042
p119,0.0006278083928897831
p2954,0.0006243720264326603
p870,0.000617119196762053
p1497,0.0006165619982543617
p890,0.0006138568650052912
p4628,0.0006138568650052912
p940,0.0006124432935685362
p1400,0.0006111330620012893
p2618,0.0006098975635983718
p1252,0.0006074899184709213
p3041,0.0006053806941731149
p4520,0.0006053806941731149
p3028,0.0006031410872229976
p560,0.0006030639324218871
p2607,0.0006019959055518457
p4573,0.000599097655778517
p1226,0.0005981707585065312
p604,0.000596768366344111
p284,0.0005966112330802188
p4910,0.000596586261548119
p1331,0.0005950811669853957
p5400,0.0005944312108910523
p5401,0.0005944312108910523
p1311,0.0005941918987248716
p776,0.0005890539568661371
p1564,0.0005876673413937344
p1353,0.0005838815907910002
p2407,0.0005802220166778903
p2411,0.0005802220166778903
p22,0.0005791380071467645
p1330,0.0005768201802773577
p827040,0.0005747176719916627
p1911,0.0005692356537543979
p2728,0.0005692356537543979
p3170,0.0005692356537543979
p3201,0.0005692356537543979
p4514,0.0005692356537543979
p4885,0.0005692356537543979
p4908,0.0005692356537543979
p2398,0.0005651153542674775
p453,0.0005648596446226893
p2961,0.0005584110085020613
p820,0.0005571165760125521
p1395,0.0005564056178735532
p2013,0.0005543853171644956
p3364,0.0005520216246540134
p4865,0.0005520216246540134
p2968,0.0005509393708573322
p3126,0.0005461358416616095
p1319,0.0005449793370914647
p1284,0.0005443570705620304
p374881,0.0005434793650213369
u6309,0.0005418122504447599
p4154,0.000538652683823022
p2384,0.0005382111343609409
p2396,0.0005382111343609409
p2606,0.0005382111343609409
p3219,0.0005382111343609409
p3975,0.0005382111343609409
p4149,0.0005382111343609409
p5402,0.0005382111343609409
p457,0.0005353398361278673
p4011,0.0005353398361278673
p3217,0.0005350538677970242
p1935,0.0005313892827712662
p1940,0.0005313892827712662
p2592,0.0005292205513105562
p3078,0.0005290256530496414
p984,0.0005289475286177
p96,0.0005271867099635612
p98,0.0005271867099635612
p3413,0.0005252958824968417
p5405,0.000523716593431793
p1458,0.0005233033610911076
p193,0.0005156463365496131
p4227,0.0005150715399280119
p4532,0.0005150715399280119
p2262,0.0005138544149496458
p1692,0.0005127378008901128
p1372,0.0005098238939605664
p2952,0.0005095488687998909
p1005,0.0005079294593621992
p906,0.0005042729146227809
p2385,0.0005015678899486942
p4556,0.0005015678899486942
p945,0.0004996637600897216
p1181,0.0004996637600897216
p1188,0.0004996637600897216
p4201,0.0004996637600897216
p500,0.0004992958658404171
p3029,0.0004989700341480973
p433,0.0004966041731480886
p1834,0.0004966041731480886
p1250,0.0004956399170195451
p2877,0.0004934376870404807
p1072,0.0004924633126471662
p1073,0.0004924633126471662
p3281,0.000491340158319541
p81,0.0004910473757051796
p4191,0.0004902086955339669
p2181,0.0004842025491026453
p2339,0.00048226489124922876
p1288,0.0004803242315083707
p1153,0.00048019354031457554
p1478,0.00047923276648221316
p2037,0.0004771520574009752
p2117,0.0004771520574009752
p1307,0.00047695929024222576
p1329,0.00047695929024222576
p912,0.00047691041799738604
p1193,0.00047691041799738604
p2248,0.0004759064713716347
p1157,0.0004746499693960557
p2280,0.0004709847976612149
p2184,0.0004693347528031829
p2711,0.00046768720254073006
p3814,0.0004648685116190297
p3815,0.0004643817035706265
p851,0.0004615600608830467
p3040,0.0004613091417014012
p3100,0.0004601789693495083
p3167,0.0004601789693495083
p3182,0.0004601789693495083
p3288,0.0004601789693495083
p1464,0.00045518675387539294
p1003,0.0004550641277850941
p917,0.000453509374671063
p1055,0.00045331400396574355
p3192,0.00045134588151467074
p1764,0.0004505724525018555
p2864,0.00045051149017467327
p2350,0.000449593094270985
p1539,0.0004447159406525079
p4988,0.0004446067007124035
p3818,0.00044190338562320877
p2967,0.0004403536347640637
p1338,0.00043902408663510294
p1342,0.00043902408663510294
p1343,0.00043902408663510294
p85,0.0004375598705613667
p88,0.0004375598705613667
p2912,0.0004354580655493898
p2841,0.0004308114495755398
p5581,0.0004294466935956676
p71,0.00042733211828832813
p1807,0.0004272519938666388
p3157,0.0004272519938666388
p3249,0.0004272519938666388
p3916,0.0004272519938666388
p4907,0.0004272519938666388
p565,0.0004265585264711243
p2689,0.0004257354061676043
p3811,0.000425358924890936
p2479,0.0004244689040858816
p4622,0.00042410100998274306
p2456,0.0004234799261246874
p1530,0.0004225562961231923
p17,0.00042222533131110787
u1120,0.00042212128489166177
p2290,0.00041815464194377446
p3260,0.0004150137116851503
p189412,0.0004149695186631799
p758,0.00041397772871512204
p2855,0.000409356830866442
p62,0.00040930624131969894
p31,0.00040595838689117247
p225,0.0004036867441150044
p230,0.0004036867441150044
p4736,0.0004018172494185831
p4723,0.0004013342331340096
p3320,0.00040103476330065465
p767,0.00039903831098756
p768,0.00039903831098756
p1910,0.00039798586202155755
p2640,0.00039798586202155755
p3002,0.00039798586202155755
p3021,0.00039798586202155755
p3070,0.00039798586202155755
p3120,0.00039798586202155755
p3121,0.00039798586202155755
p3162,0.00039798586202155755
p3171,0.00039798586202155755
p3172,0.00039798586202155755
p3173,0.00039798586202155755
p3181,0.00039798586202155755
p3205,0.00039798586202155755
p3215,0.00039798586202155755
p3220,0.00039798586202155755
p3222,0.00039798586202155755
p3223,0.00039798586202155755
p3269,0.00039798586202155755
p3283,0.00039798586202155755
p3284,0.00039798586202155755
p3662,0.00039798586202155755
p3760,0.00039798586202155755
p3865,0.00039798586202155755
p3871,0.00039798586202155755
p4719,0.00039798586202155755
p4720,0.00039798586202155755
p4866,0.00039798586202155755
p4867,0.00039798586202155755
p4868,0.00039798586202155755
p4893,0.00039798586202155755
p4921,0.00039798586202155755
p4938,0.00039798586202155755
p4941,0.00039798586202155755
p4943,0.00039798586202155755
p4962,0.00039798586202155755
p1367,0.0003971137799816039
p916,0.0003961295467360704
p2971,0.0003948831752851331
p1017,0.0003945925531689703
p1758,0.0003939080452577139
p327,0.00039295386037867415
p2464,0.0003924995011263981
p5359,0.0003921414805869692
p1454,0.0003889994529610078
p505,0.000388904977775527
p4093,0.00038811853869871705
p753,0.0003873196852252403
p2519,0.00038601755364323916
u14068,0.00038572052865262356
p2791,0.00038312351029229054
p2815,0.00038312351029229054
p923,0.0003826236978735867
p3412,0.00038046506011766624
p3960,0.00037900639429519327
p4094,0.00037888797012436236
p4095,0.00037888797012436236
u3061,0.00037868433649694935
p1511,0.0003781961848398328
u5342,0.0003776231835047769
u739,0.000377069468347551
p1238,0.0003755541645086645
u2687,0.0003751403331519745
u1570,0.00037420353207767877
p1903,0.0003740928195896035
p5531,0.0003740928195896035
p1148,0.00037409281958960346
p3093,0.0003740928195896034
p1314,0.00037393664542497286
u1938,0.00037391238842021104
u1526,0.00037361627793537167
u357,0.0003730546092784474
u3821,0.00037277367451457117
u1845,0.00037261710229335315
u517,0.00037259944814769196
u2866,0.0003721961624392301
u744,0.00037199211977991003
u1811,0.00037199211977991003
u5056,0.00037199211977991003
u2996,0.00037199211977991
u3071,0.00037199211977991
u2822,0.0003719921197799098
u1648,0.0003719921197799097
u5843,0.0003719921197799097
p1324,0.0003713033005660377
p2323,0.0003702119465870043
p5357,0.0003701500826295599
p514,0.00036861563957001905
p2320,0.000367893186133162
p5587,0.000367845720395701
p2289,0.000365896402363104
p2004,0.00036584306612302603
p2167,0.00036584306612302603
p2649,0.00036584306612302603
p2650,0.00036584306612302603
p2657,0.00036584306612302603
p2831,0.00036584306612302603
p2833,0.00036584306612302603
p2835,0.00036584306612302603
p2837,0.00036584306612302603
p2839,0.00036584306612302603
p2859,0.00036584306612302603
p2885,0.00036584306612302603
p2890,0.00036584306612302603
p2897,0.00036584306612302603
p3306,0.00036584306612302603
p3310,0.00036584306612302603
p3311,0.00036584306612302603
p3312,0.00036584306612302603
p3313,0.00036584306612302603
p3317,0.00036584306612302603
